provided_interaction_type_label,provided_interaction_type_id,mapped_to_interaction_type_label,mapped_to_interaction_type_id
floral resource from,,acquiresNutrientsFrom,http://purl.obolibrary.org/obo/RO_0002457
Floral visitor of,,visitsFlowersOf,http://purl.obolibrary.org/obo/RO_0002622
Floral visitor & pollinator of,,visitsFlowersOf,http://purl.obolibrary.org/obo/RO_0002622
Floral visitor to,,visitsFlowersOf,http://purl.obolibrary.org/obo/RO_0002622
hosted by,,hostOf,http://purl.obolibrary.org/obo/RO_0002453
nectar sourced from,,acquiresNutrientsFrom,http://purl.obolibrary.org/obo/RO_0002457
nests in,,visits,http://purl.obolibrary.org/obo/RO_0002618
parasite of,,parasiteOf,http://purl.obolibrary.org/obo/RO_0002444
Parasitoid of,,parasitoidOf,http://purl.obolibrary.org/obo/RO_0002208
polinates,,polinates,http://purl.obolibrary.org/obo/RO_0002455
polinator of,,polinates,http://purl.obolibrary.org/obo/RO_0002455
Pollen sourced from,,acquiresNutrientsFrom,http://purl.obolibrary.org/obo/RO_0002457
pollinates,,polinates,http://purl.obolibrary.org/obo/RO_0002455
pollinator and visitor of,,polinates,http://purl.obolibrary.org/obo/RO_0002455
pollinator of,,polinates,http://purl.obolibrary.org/obo/RO_0002455
pollinator of /Visitor of,,polinates,http://purl.obolibrary.org/obo/RO_0002455
Pollinator& visitor of,,polinates,http://purl.obolibrary.org/obo/RO_0002455
predator of,,preysOn,http://purl.obolibrary.org/obo/RO_0002439
predators of,,preysOn,http://purl.obolibrary.org/obo/RO_0002439
visit flower of,,visitsFlowersOf,http://purl.obolibrary.org/obo/RO_0002622
visitor for,,visits,http://purl.obolibrary.org/obo/RO_0002618
visitor of,,visits,http://purl.obolibrary.org/obo/RO_0002618
visits,,visits,http://purl.obolibrary.org/obo/RO_0002618
visits flowers of,,visitsFlowersOf,http://purl.obolibrary.org/obo/RO_0002622
Visits flowers  of,,visitsFlowersOf,http://purl.obolibrary.org/obo/RO_0002622
